"order_id","is_returned","order_sales","order_profit","has_high_discount"
AE-2014-PO8865138-41914,0,161.08,-246.08,1
AE-2016-EB4110138-42657,0,229.00,-236.96,1
AE-2016-MY7380138-42735,0,23.64,-38.07,1
AE-2017-GH4665138-43082,1,281.51,-429.10,1
AE-2017-JD5790138-42801,0,6.43,-11.57,1
AE-2017-PG8820138-43044,0,42.48,-75.06,1
AG-2014-AA6453-41750,0,298.68,53.76,0
AG-2014-AC4203-41646,0,91.38,14.58,0
AG-2014-AH2103-41863,0,276.96,11.04,0
AG-2014-AJ7803-41708,0,35.97,7.17,0
AG-2014-AS2853-41965,0,54.90,15.36,0
AG-2014-BC11253-41949,0,10.92,4.14,0
AG-2014-BM17853-41782,0,874.68,148.68,0
AG-2014-BM17853-41815,0,510.24,177.18,0
AG-2014-CC23703-41700,0,113.28,29.43,0
AG-2014-DB32103-41987,1,58.74,20.52,0
AG-2014-DH36753-41866,0,607.26,222.48,0
AG-2014-DK28353-41994,0,1589.40,349.56,0
AG-2014-EG39003-41992,0,1475.97,86.79,0
AG-2014-JH59853-41944,0,24.72,10.86,0
AG-2014-MW82203-41838,0,55.44,19.32,0
AG-2014-MW82203-41998,0,116.04,27.84,0
AG-2014-OT87303-41992,0,198.09,29.70,0
AG-2014-RO97803-41695,1,1408.41,331.71,0
AG-2014-RS97653-41804,0,11.37,4.08,0
AG-2014-TB112803-41640,0,408.30,106.14,0
AG-2014-TH112353-41649,0,308.64,61.71,0
AG-2014-TT110703-41863,0,10.41,4.26,0
AG-2015-AA4803-42224,0,110.10,8.79,0
AG-2015-BP12303-42216,0,362.70,96.57,0
AG-2015-CC24303-42247,1,153.24,61.17,0
AG-2015-CP23403-42152,1,2366.10,632.79,0
AG-2015-DC32853-42236,0,269.49,98.85,0
AG-2015-GH44103-42334,0,16.71,3.15,0
AG-2015-KF62853-42324,0,105.36,23.79,0
AG-2015-LC70503-42265,1,754.71,210.54,0
AG-2015-LM70653-42082,0,528.60,174.96,0
AG-2015-LM70653-42348,0,291.78,28.38,0
AG-2015-MP74703-42225,0,17.52,5.43,0
AG-2015-MV81903-42317,0,63.87,20.43,0
AG-2015-PF91653-42338,0,198.21,42.00,0
AG-2015-PO88653-42364,0,1932.24,191.25,0
AG-2015-RB95703-42008,0,262.71,102.33,0
AG-2015-SZ100353-42143,0,408.21,11.10,0
AG-2015-TS115053-42337,0,1447.44,506.52,0
AG-2016-AG7653-42462,0,166.83,4.98,0
AG-2016-AH100753-42491,0,111.84,46.80,0
AG-2016-AR3453-42404,0,31.95,11.82,0
AG-2016-BO14253-42605,0,91.32,9.87,0
AG-2016-BT14853-42643,0,41.28,18.12,0
AG-2016-CM21603-42486,0,43.05,10.32,0
AG-2016-CP20853-42620,0,84.72,14.10,0
AG-2016-CS18603-42511,0,146.76,42.54,0
AG-2016-DB32703-42569,0,661.47,135.75,0
AG-2016-DJ35103-42608,0,1050.96,399.36,0
AG-2016-ES40803-42679,0,173.49,21.39,0
AG-2016-HF49953-42437,1,278.31,96.72,0
AG-2016-KE64203-42532,0,110.70,17.70,0
AG-2016-LW71253-42714,0,435.99,178.74,0
AG-2016-ML73953-42404,0,153.24,70.08,0
AG-2016-NF85953-42561,0,755.22,282.30,0
AG-2016-RB96453-42625,0,147.30,10.29,0
AG-2016-RD95853-42443,0,64.38,21.03,0
AG-2016-RD95853-42606,0,25.23,6.54,0
AG-2016-SK99903-42612,0,904.56,324.51,0
AG-2017-AC4203-42796,1,335.85,78.36,0
AG-2017-AM3603-42910,0,73.26,10.98,0
AG-2017-AR5703-42806,0,253.74,60.42,0
AG-2017-BD16053-42825,0,122.88,9.72,0
AG-2017-CA23103-42764,0,92.16,11.04,0
AG-2017-CC21003-43040,0,481.68,178.20,0
AG-2017-CC22203-42990,0,15.84,1.26,0
AG-2017-CD27903-42967,0,455.37,129.90,0
AG-2017-CL25653-42895,0,1781.82,623.31,0
AG-2017-CR27303-42736,0,106.92,26.73,0
AG-2017-CR28203-42882,0,191.22,57.24,0
AG-2017-CR28203-43045,0,39.96,19.14,0
AG-2017-DK32253-43035,0,35.76,9.60,0
AG-2017-DL28653-42898,0,481.68,83.31,0
AG-2017-DR29403-43057,0,559.59,90.81,0
AG-2017-DS31803-42777,0,177.72,46.23,0
AG-2017-HR48303-42952,0,330.75,10.53,0
AG-2017-IL51003-42759,0,221.79,37.38,0
AG-2017-JE54753-42736,0,19.35,2.10,0
AG-2017-JG51603-42759,0,54.12,11.64,0
AG-2017-JL58353-43046,0,24.96,1.98,0
AG-2017-JO55503-42801,0,918.48,177.72,0
AG-2017-LD68553-42961,0,110.04,29.04,0
AG-2017-MO78003-42948,1,569.19,98.67,0
AG-2017-MS79803-43094,0,663.09,137.40,0
AG-2017-PO88653-42748,0,491.28,122.28,0
AG-2017-RC99603-42916,0,1008.00,433.44,0
AG-2017-RD96603-43073,1,1771.68,633.42,0
AG-2017-RD99303-42939,0,26.37,10.80,0
AG-2017-RO97803-43096,0,14.97,5.37,0
AG-2017-RS94203-42898,0,4.80,2.19,0
AG-2017-SB101703-42757,0,901.35,149.73,0
AG-2017-SL101553-42875,0,22.29,10.68,0
AG-2017-TB112503-43099,0,265.92,94.56,0
AG-2017-YS118803-43096,0,160.32,24.00,0
AJ-2014-CM19359-41693,0,49.32,5.40,0
AJ-2014-JH58209-42002,0,24.45,0.00,0
AJ-2014-RP92709-41895,0,137.88,66.18,0
AJ-2014-TC109809-41797,0,591.27,80.37,0
AJ-2015-GM46809-42272,0,26.40,0.48,0
AJ-2015-SG108909-42310,0,453.24,157.32,0
AJ-2016-CA23109-42596,0,141.33,14.13,0
AJ-2016-DC32859-42376,0,7.62,3.42,0
AJ-2016-GZ45459-42379,0,10.08,4.62,0
AJ-2016-JL58359-42392,0,2452.56,989.88,0
AJ-2016-JR57009-42523,0,51.63,24.24,0
AJ-2016-NC83409-42589,0,29.76,6.54,0
AJ-2017-DJ34209-43099,1,157.80,9.36,0
AJ-2017-DR28809-43096,0,1076.34,394.26,0
